motivation_seeking_class,prior_participation_open_house,prior_participation_instant_decision,prior_participation_oncampus_session,prior_participation_virtual_session,prior_participation_women_dare,prior_participation_regional_fair,extent_school_computing_class,extent_school_computing_club,extent_computing_competitions,extent_afterschool_computing,extent_summer_computing_camp,extent_ap_computing,extent_dual_enrollment,extent_family_friend,extent_family_friend_computing,extent_teacher_counselor,extent_employer,hear_about_ccm,new_class_interest,new_class_interest_specific
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Current student,3,
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,No Impact,,No Impact,,,,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Family member or friend;Current student;Alumni;High School,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Community Event;Family member or friend;Current student;Alumni;High School,1,
Personal Enrichment,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,,,,,Web site,4,CyberSecurity
It’s a required class for the degree I’m seeking,Yes,Yes,Yes,No,No,Yes,Some Impact,,,,,,,Some Impact,Some Impact,,High Impact,Web site;Community Event;Family member or friend;High School,3,CyberSecurity;Computer Programming;Game Design
It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,,,,,,,,Some Impact,Some Impact,,,Web site;Family member or friend;High School,3,Computer Programming
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills,Yes,Yes,Yes,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Web site;Family member or friend;Current student;Alumni;High School,2,
It’s a required class for the degree I’m seeking,Yes,Not Sure,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High School,1,Game Design
It’s a required class for the degree I’m seeking,No,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Web site;High School,4,Web Development;Computer Programming
It’s a required class for the degree I’m seeking,No,No,Not Sure,No,No,No,,,,,,,,,,,,Family member or friend;High School,1,
It’s a required class for the degree I’m seeking;Personal Enrichment;Curiosity,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,Social Media;Family member or friend;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;High School,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment,No,No,No,No,No,No,,,,,,,,High Impact,No Impact,Some Impact,High Impact,Billboard;Family member or friend;Current student;High School,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment,No,No,No,No,No,No,,,,,,,,Some Impact,No Impact,,Some Impact,Billboard;Family member or friend;Current student;High School,1,
Curiosity,No,No,No,No,No,No,Some Impact,,Some Impact,,,,,High Impact,Some Impact,High Impact,,Family member or friend;High School,3,App Development;Computer Programming;Game Design
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Family member or friend,2,
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Family member or friend,2,
